,Hit,False Alarm,No Response,Data File,n_languages,lang_list,prof_list,sum_proficiency,isMono,Form File
0,7,5,0,6_data.csv,2,"English, Gujurati","10,5",15,False,6_form.csv
1,10,2,0,7_data.csv,3,"english,spanish,Italian","10,4,4",18,True,7_form.csv
2,12,6,0,14_data.csv,2,"English, French","10,4",14,False,14_form.csv
3,6,5,0,1_data.csv,2,"English, Farsi","10,6",16,True,1_form.csv
4,10,6,2,13_data.csv,2,"English, Korean","10,10",20,True,13_form.csv
5,10,4,0,12_data.csv,2,"English, German","10,6",16,False,12_form.csv
6,6,8,3,963_data.csv,1,English,10,10,True,963_form.csv
7,10,7,1,5_data.csv,1,English,10,10,True,5_form.csv
8,13,4,0,181_data.csv,2,"Chinese, English","10,9",19,True,181_form.csv
9,8,12,2,8_data.csv,4,"English, Spanish, French, Tagalog","10,4,2,3",19,False,8_form.csv
10,8,6,0,10_data.csv,2,"English, German","10,7",17,False,10_form.csv
11,12,4,0,11_data.csv,1,"English, Spanish","10,7",17,True,11_form.csv
12,14,7,1,88_data.csv,2,"Chinese, English, Japanese","10,10,3",23,False,88_form.csv
