7.6405 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1470, 956]. Using actual size
8.5378 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8311b87790>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8311b87730>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8311b875b0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8309f09ca0>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5379 	EXP 	window1: mouseVisible = True
8.5380 	EXP 	window1: backgroundImage = ''
8.5380 	EXP 	window1: backgroundFit = 'none'
8.5394 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5394 	EXP 	window1: recordFrameIntervals = False
8.7041 	EXP 	window1: recordFrameIntervals = True
8.8869 	EXP 	Screen (0) actual frame rate measured at 60.70Hz
8.8869 	EXP 	window1: recordFrameIntervals = False
8.8877 	EXP 	window1: mouseVisible = False
11.0219 	EXP 	186c experiment: status = STARTED
11.0225 	EXP 	window1: mouseVisible = True
11.0625 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.0780 	EXP 	Imported src/186c experiment survey form.csv as conditions, 4 conditions, 13 params
11.0785 	EXP 	Question text: How many languages do you know?
11.0787 	EXP 	window1: mouseVisible = True
11.0788 	EXP 	window1: mouseVisible = True
11.0791 	EXP 	window1: mouseVisible = True
11.0794 	EXP 	window1: mouseVisible = True
11.0988 	EXP 	window1: mouseVisible = True
11.0989 	EXP 	window1: mouseVisible = True
11.0993 	EXP 	window1: mouseVisible = True
11.0996 	EXP 	window1: mouseVisible = True
11.1087 	EXP 	window1: mouseVisible = True
11.1088 	EXP 	window1: mouseVisible = True
11.1091 	EXP 	window1: mouseVisible = True
11.1094 	EXP 	window1: mouseVisible = True
11.1127 	EXP 	window1: mouseVisible = True
11.1128 	EXP 	window1: mouseVisible = True
11.1131 	EXP 	window1: mouseVisible = True
11.1134 	EXP 	window1: mouseVisible = True
11.1169 	EXP 	Question text: List them, separated by comma (e.g. Chinese, English, Spanish)
11.1170 	EXP 	window1: mouseVisible = True
11.1171 	EXP 	window1: mouseVisible = True
11.1174 	EXP 	window1: mouseVisible = True
11.1177 	EXP 	window1: mouseVisible = True
11.1288 	EXP 	window1: mouseVisible = True
11.1289 	EXP 	window1: mouseVisible = True
11.1292 	EXP 	window1: mouseVisible = True
11.1295 	EXP 	window1: mouseVisible = True
11.1336 	EXP 	window1: mouseVisible = True
11.1337 	EXP 	window1: mouseVisible = True
11.1340 	EXP 	window1: mouseVisible = True
11.1343 	EXP 	window1: mouseVisible = True
11.1376 	EXP 	window1: mouseVisible = True
11.1377 	EXP 	window1: mouseVisible = True
11.1380 	EXP 	window1: mouseVisible = True
11.1382 	EXP 	window1: mouseVisible = True
11.1418 	EXP 	Question text: Please rate corresponding proficiency, separated by comma (e.g. 10, 9, 1)
11.1418 	EXP 	window1: mouseVisible = True
11.1419 	EXP 	window1: mouseVisible = True
11.1422 	EXP 	window1: mouseVisible = True
11.1425 	EXP 	window1: mouseVisible = True
11.1512 	EXP 	window1: mouseVisible = True
11.1513 	EXP 	window1: mouseVisible = True
11.1516 	EXP 	window1: mouseVisible = True
11.1519 	EXP 	window1: mouseVisible = True
11.1561 	EXP 	window1: mouseVisible = True
11.1562 	EXP 	window1: mouseVisible = True
11.1565 	EXP 	window1: mouseVisible = True
11.1568 	EXP 	window1: mouseVisible = True
11.1601 	EXP 	window1: mouseVisible = True
11.1602 	EXP 	window1: mouseVisible = True
11.1605 	EXP 	window1: mouseVisible = True
11.1608 	EXP 	window1: mouseVisible = True
11.1642 	EXP 	Question text: Provide a summed number of all the proficiencies.
11.1643 	EXP 	window1: mouseVisible = True
11.1644 	EXP 	window1: mouseVisible = True
11.1647 	EXP 	window1: mouseVisible = True
11.1649 	EXP 	window1: mouseVisible = True
11.1712 	EXP 	window1: mouseVisible = True
11.1712 	EXP 	window1: mouseVisible = True
11.1715 	EXP 	window1: mouseVisible = True
11.1718 	EXP 	window1: mouseVisible = True
11.1755 	EXP 	window1: mouseVisible = True
11.1756 	EXP 	window1: mouseVisible = True
11.1758 	EXP 	window1: mouseVisible = True
11.1761 	EXP 	window1: mouseVisible = True
11.1794 	EXP 	window1: mouseVisible = True
11.1795 	EXP 	window1: mouseVisible = True
11.1797 	EXP 	window1: mouseVisible = True
11.1800 	EXP 	window1: mouseVisible = True
11.1933 	EXP 	window1: mouseVisible = True
11.1934 	EXP 	window1: mouseVisible = True
11.1965 	EXP 	window1: mouseVisible = True
11.1994 	EXP 	window1: mouseVisible = True
11.2013 	EXP 	window1: mouseVisible = True
11.2016 	EXP 	window1: mouseVisible = True
11.2054 	EXP 	Created form = <psychopy.visual.form.Form object at 0x7f8348492ee0>
11.2055 	EXP 	window1: mouseVisible = True
11.2056 	EXP 	window1: mouseVisible = True
11.2059 	EXP 	window1: mouseVisible = True
11.2062 	EXP 	window1: mouseVisible = True
11.2237 	EXP 	window1: mouseVisible = True
11.2238 	EXP 	window1: mouseVisible = True
11.2241 	EXP 	window1: mouseVisible = True
11.2243 	EXP 	window1: mouseVisible = True
11.2404 	EXP 	window1: mouseVisible = True
11.2405 	EXP 	window1: mouseVisible = True
11.2432 	EXP 	Created survey_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='survey_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.2433 	EXP 	window1: mouseVisible = True
