training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,sample_loop.thisRepN,sample_loop.thisTrialN,sample_loop.thisN,sample_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,intro.started,intro_text.started,intro_key_resp.started,intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.duration,presurvey_questions.started,survey_text.started,form.started,survey_button.started,survey_text.stopped,presurvey_questions.stopped,form.index,form.itemText,form.type,form.granularity,form.font,form.markerColor,form.response,form.rt,survey_button.numClicks,survey_button.timesOn,survey_button.timesOff,training_instr.started,training_text.started,training_start.started,training_instr.stopped,training_start.keys,training_start.rt,training_start.duration,training.started,training_fixation_1.started,training_sound.started,training_fixation_2.started,training_fixation_1.stopped,training_fixation_2.stopped,training.stopped,sample_instr.started,sample_start.started,sample_key.started,sample_instr.stopped,sample_key.keys,sample_key.rt,sample_key.duration,sample_trial.started,sample_sound.started,sample_fixation.started,sample_kb.started,sample_text.started,sample_fixation.stopped,sample_trial.stopped,sample_kb.keys,sample_kb.rt,sample_kb.duration,trial_instr.started,trial_start.started,trial_key.started,trial_instr.stopped,trial_key.keys,trial_key.rt,trial_key.duration,trial.started,trial_sound.started,trial_fixation.started,trial_kb.started,trial_text.started,trial_fixation.stopped,trial.stopped,trial_kb.keys,trial_kb.rt,trial_kb.duration,trial_sound.stopped,conclusion.started,conclusion_text.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.030581625178456306,0.047732249833643436,0.047732249833643436,1.5468382500112057,right,1.4788756659254432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,1.5468560419976711,1.5539161250926554,4.567287708166987,4.567287708166987,4.567287708166987,20.479890374932438,1,How many languages do you know?,free text,None,None,None, 2,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"List them, separated by comma (e.g. Chinese, English, Spanish)",free text,None,None,None,"English, Japanese",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Please rate corresponding proficiency, separated by comma (e.g. 10, 9, 1)",free text,None,None,None,"9, 6",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Provide a summed number of all the proficiencies.,free text,None,None,None,15,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,[15.942067041061819],[15.942070125136524],20.49087058287114,20.49587804218754,20.49587804218754,21.905574792064726,space,1.4078097916208208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
0,0,0,0,,,,,,,,,21.93040491687134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.908097624778748,21.93040491687134,22.920118391839786,30.419829708058387,30.436882708221674,33.9240692500025,33.90420237509534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.904305667150766,33.9240692500025,33.9240692500025,49.33721954189241,space,15.403050874825567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,0,0,0,0,,,,,49.36226383317262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.338144375011325,49.36990624219179,49.36226383317262,59.33638016693294,59.33638016693294,59.369698042050004,62.15416929218918,2,2.8026654589921236,None,,,,,,,,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.15450800023973,62.16979558300227,62.16979558300227,64.6874078749679,space,2.5085028749890625,None,,,,,,,,,,,,,,15,2023-12-02_14h35.15.176,186c experiment,2023.2.2,60.085802731969906,2023-12-02 14h35.22.339448 -0800,
