7.3333 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1470, 956]. Using actual size
8.2068 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcf51cde4c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcf51cde460>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcf51cde2e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fcf719a1a00>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.2069 	EXP 	window1: mouseVisible = True
8.2069 	EXP 	window1: backgroundImage = ''
8.2069 	EXP 	window1: backgroundFit = 'none'
8.2081 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.2082 	EXP 	window1: recordFrameIntervals = False
8.4069 	EXP 	window1: recordFrameIntervals = True
8.5887 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
8.5887 	EXP 	window1: recordFrameIntervals = False
8.5896 	EXP 	window1: mouseVisible = False
11.0873 	EXP 	186c experiment: status = STARTED
11.0879 	EXP 	window1: mouseVisible = True
