path,type
signal/signal 1.mp3,0
signal/signal 2.mp3,0
signal/signal 3.mp3,0
signal/signal 4.mp3,0
signal/signal 5.mp3,0
signal/signal 6.mp3,0
signal/signal 7.mp3,0
signal/signal 8.mp3,0
signal/signal 9.mp3,0
signal/signal 10.mp3,0
signal/signal 11.mp3,0
signal/signal 12.mp3,0
signal/signal 13.mp3,0
signal/signal 14.mp3,0
signal/signal 15.mp3,0
signal/signal 16.mp3,0
noise canto/noise canto 1.mp3,1
noise canto/noise canto 2.mp3,1
noise canto/noise canto 3.mp3,1
noise canto/noise canto 4.mp3,1
noise canto/noise canto 5.mp3,1
noise canto/noise canto 6.mp3,1
noise canto/noise canto 7.mp3,1
noise canto/noise canto 8.mp3,1
noise french/noise french 1.mp3,2
noise french/noise french 2.mp3,2
noise french/noise french 3.mp3,2
noise french/noise french 4.mp3,2
noise french/noise french 5.mp3,2
noise french/noise french 6.mp3,2
noise french/noise french 7.mp3,2
noise french/noise french 8.mp3,2
